CylinderConfiguration,Price,PriceType,SimpleAge,SellerType,Make,Model,BodyType,Year,Kilometers,Trasmission,DriveTrain,FuelType,Colour,AirConditioning,ANCAPRating,GreenStarRating
4,38,FIXED,46m,Private seller,Toyota,SBV LWB,Van/Minivan,2002,150000,Manual,Rear Wheel Drive,Petrol - Unleaded,Grey,FALSE,4,2
4,14999,DRIVE_AWAY,2h,Dealer used,Nissan,ST (4x4),Ute,2011,211191,Manual,4x4,Diesel,Grey,TRUE,3,2.5
4,24990,FIXED,5h,Dealer used,BMW,20d,Convertible,2012,80725,Automatic,Rear Wheel Drive,Diesel,White,TRUE,5,3.5
4,6499,DRIVE_AWAY,4h,Dealer used,Subaru,2.0R,Sedan,2006,208707,Automatic,All Wheel Drive,Petrol - Unleaded,Other,TRUE,5,3.5
6,22999,FIXED,1h,Dealer used,Nissan,370Z,Coupe (2 door),2010,98658,Manual,Rear Wheel Drive,Petrol - Premium Unleaded,Grey,TRUE,5,3
4,11990,DRIVE_AWAY,28m,Dealer used,Mitsubishi,GSR SPORTBACK,Hatchback,2014,140000,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,3.5
4,13490,DRIVE_AWAY,28m,Dealer used,Toyota,ALTISE,Sedan,2014,91173,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,3.5
8,41990,DRIVE_AWAY,28m,Dealer used,Toyota,WORKMATE (4x4),Ute,2011,176974,Manual,4x4,Diesel,White,TRUE,3,2
8,15990,DRIVE_AWAY,28m,Dealer used,Holden,V,Sedan,2010,121687,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,2.5
4,14990,DRIVE_AWAY,28m,Dealer used,Mitsubishi,GLX,Ute,2012,182235,Manual,Rear Wheel Drive,Diesel,White,TRUE,4,2.5
4,6499,FIXED,6m,Dealer used,Subaru,X,SUV,2010,260000,Manual,All Wheel Drive,Petrol - Unleaded,Other,TRUE,5,3.5
4,17900,FIXED,7h,Private seller,Toyota,LWB,Van/Minivan,2007,650000,Manual,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,4,3
4,9999,FIXED,8h,Dealer used,Nissan,ST-X (4x4),Ute,2009,274674,Manual,4x4,Diesel,Silver,TRUE,,
4,10999,FIXED,19h,Dealer used,BMW,xDRIVE 20d,SUV,2010,160612,Automatic,All Wheel Drive,Diesel,Black,TRUE,5,3.5
6,8988,DRIVE_AWAY,6h,Dealer used,Holden,OMEGA,Ute,2008,214706,Manual,Rear Wheel Drive,Petrol - Unleaded,Black,TRUE,5,4
4,57288,DRIVE_AWAY,6m,Dealer used,Lexus,F SPORT,Sedan,2018,5845,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,
6,22999,DRIVE_AWAY,6h,Dealer used,BMW,35i,Sedan,2010,160264,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Grey,TRUE,5,4.5
4,4990,FIXED,1h,Dealer used,Honda,(4x4),SUV,1999,246754,Automatic,4x4,Petrol - Unleaded,Other,TRUE,5,3.5
6,3990,FIXED,1h,Dealer used,Holden,OLYMPIC EDITION,Sedan,2000,297551,Automatic,Rear Wheel Drive,Petrol - Unleaded,Other,TRUE,5,3.5
6,8999,DRIVE_AWAY,5h,Dealer used,Holden,OMEGA,Sedan,2011,190064,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,5,3
4,23990,FIXED,4h,Dealer used,Mazda,GRAND TOURER (4x4),SUV,2013,71998,Automatic,All Wheel Drive,Diesel,White,TRUE,5,3.5
4,37988,DRIVE_AWAY,19h,Dealer demo,Renault,LWB LOW,Van/Minivan,2018,1250,Manual,Front Wheel Drive,Diesel,Grey,TRUE,3,3.5
4,27988,DRIVE_AWAY,18h,Dealer demo,Renault,LIFE X-TRONIC (4x2),SUV,2018,1250,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,3.5
4,39988,DRIVE_AWAY,18h,Dealer demo,Renault,LWB LOW,Van/Minivan,2018,1251,Manual,Front Wheel Drive,Diesel,Grey,TRUE,5,3.5
4,28888,DRIVE_AWAY,18h,Dealer demo,Renault,LIFE X-TRONIC (4x2),SUV,2018,1250,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,White,TRUE,5,4
6,27999,FIXED,53m,Dealer used,Audi,3.0 TDI QUATTRO,SUV,2012,162738,Automatic,All Wheel Drive,Diesel,White,TRUE,4,3.5
6,5999,FIXED,6h,Dealer used,Ford,TS (4x4),SUV,2007,214447,Automatic,All Wheel Drive,Petrol - Unleaded,Black,TRUE,5,
4,8499,FIXED,18h,Dealer used,Hyundai,ACTIVE,Sedan,2011,201000,Automatic,Front Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,4.5
5,13990,FIXED,3h,Dealer used,Volkswagen,(LWB),Van/Minivan,2005,335788,Manual,Front Wheel Drive,Diesel,Other,TRUE,5,2.5
4,24790,FIXED,3h,Dealer used,Mazda,AKERA (4x4),SUV,2013,90275,Automatic,All Wheel Drive,Diesel,Silver,TRUE,5,3.5
4,4999,DRIVE_AWAY,1h,Dealer used,Toyota,YR,Hatchback,2008,202212,Manual,Front Wheel Drive,Petrol - Unleaded,White,TRUE,,
4,5499,FIXED,59m,Dealer used,Hyundai,ACTIVE,Hatchback,2012,255000,Manual,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,5
4,15990,DRIVE_AWAY,3h,Dealer used,Mitsubishi,GLS LWB (4x4),SUV,2009,255602,Automatic,4x4,Diesel,White,TRUE,3,4
4,50990,DRIVE_AWAY,3h,Dealer demo,Ford,ST-LINE (AWD),SUV,2018,2864,Automatic,All Wheel Drive,Diesel,Grey,TRUE,5,3.5
4,41990,DRIVE_AWAY,1h,Dealer demo,Ford,TREND (AWD),SUV,2019,2864,Automatic,All Wheel Drive,Diesel,Silver,TRUE,5,2.5
