Price,PriceType,SellerType,Make,Model,Variant,BodyType,Year,Kilometers,Trasmission,DriveTrain,FuelType,Colour,AirConditioning,ANCAPRating,GreenStarRating,CylinderConfigurationParsed
39990,FIXED,Dealer used,Mercedes-Benz,500,,Other,1984,93089,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,3.5,0
39990,FIXED,Dealer used,Jaguar,XJSC,,Other,1985,84000,Manual,Rear Wheel Drive,Petrol - Unleaded,Red,TRUE,5,3.5,0
69990,FIXED,Dealer used,Bentley,FLYING SPUR,,Sedan,2006,97278,Automatic,All Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,5,3.5,0
26990,FIXED,Dealer used,Rolls-Royce,SPIRIT II,,Sedan,1990,202575,Automatic,Rear Wheel Drive,Petrol - Unleaded,Cream,TRUE,5,2.5,0
22990,FIXED,Dealer used,Infiniti,M,30d S PREMIUM,Sedan,2012,66300,Automatic,Rear Wheel Drive,Diesel,Black,TRUE,4,3.5,6
22990,FIXED,Dealer used,Mercedes-Benz,C250,,Sedan,2012,127210,Automatic,Rear Wheel Drive,Petrol - Unleaded,Silver,TRUE,0,3.5,0
7999,FIXED,Dealer used,Toyota,RAV4,CRUISER L (4x4),SUV,2008,231000,Automatic,4x4,Petrol - Unleaded,Black,TRUE,5,4.5,4
11580,FIXED,Dealer used,Toyota,Camry,SPORTIVO,Sedan,2007,43000,Automatic,Front Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,4.5,4
2000,NEGOTIABLE,Dealer used,Mitsubishi,Lancer,ES,Sedan,2006,220000,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,4,3,4
9480,FIXED,Dealer used,Hyundai,i30,ELITE,Hatchback,2014,218000,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,4.5,4
9540,FIXED,Dealer used,Toyota,Hilux,WORKMATE,Ute,2012,237151,Manual,Rear Wheel Drive,Petrol - Unleaded,White,FALSE,4,3,4
2750,FIXED,Dealer used,Peugeot,206,XR,Hatchback,2002,107802,Manual,Front Wheel Drive,Petrol - Premium Unleaded,White,TRUE,4,3,4
17990,DRIVE_AWAY,Dealer used,Toyota,Other,,Wagon,2009,92344,Automatic,Rear Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,3,0
27950,FIXED,Dealer used,Nissan,300,ZX TARGA,Coupe (2 door),1987,155405,Manual,Rear Wheel Drive,Petrol - Unleaded,Other,TRUE,5,4.5,6
14990,DRIVE_AWAY,Dealer used,Nissan,Elgrand,XT (LPG),Wagon,2006,95263,Automatic,Rear Wheel Drive,Petrol - Unleaded,Black,TRUE,5,3,0
12990,DRIVE_AWAY,Dealer used,Nissan,Elgrand,XT (LPG),Wagon,2004,116115,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,5,3,0
26888,DRIVE_AWAY,Dealer used,Toyota,Kluger,GRANDE (4x4),SUV,2013,122665,Automatic,4x4,Petrol - Unleaded,Grey,TRUE,5,3,6
31990,DRIVE_AWAY,Dealer used,Nissan,Navara,ST-X (4x4),Ute,2012,70445,Automatic,4x4,Diesel,Silver,TRUE,4,2.5,6
12950,FIXED,Dealer used,Volkswagen,Transporter,(SWB),Van/Minivan,2010,261014,Automatic,Front Wheel Drive,Diesel,Other,TRUE,4,2,5
3999,FIXED,Dealer used,Honda,Civic,GLi,Sedan,1998,187000,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,4,4
6291,DRIVE_AWAY,Dealer used,Mitsubishi,Pajero,GLS LWB (4x4),SUV,2002,277454,Automatic,4x4,Petrol - Unleaded,Green,TRUE,5,2.5,6
9500,NEGOTIABLE,Private seller,Chrysler,Crossfire,ROADSTER,Convertible,2004,184000,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Grey,TRUE,5,4,6
17990,DRIVE_AWAY,Dealer used,Mitsubishi,ASX,XLS (2WD),SUV,2015,80302,Automatic,Front Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,3.5,4
13999,FIXED,Dealer used,Holden,LX (4x2),,Ute,2013,258000,Automatic,Rear Wheel Drive,Diesel,White,TRUE,4,2.5,0
6999,FIXED,Dealer used,Mazda,LUXURY SPORTS,,Hatchback,2005,194417,Manual,Front Wheel Drive,Petrol - Premium Unleaded,Red,TRUE,5,3.5,0
5499,FIXED,Dealer used,Honda,CR-V,(4x4),SUV,2006,221000,Manual,4x4,Petrol - Unleaded,Black,TRUE,5,2.5,4
299990,FIXED,Dealer used,Ferrari,SPIDER,,Convertible,2005,56789,Manual,Rear Wheel Drive,Petrol - Premium Unleaded,Red,TRUE,5,2.5,0
7499,FIXED,Dealer used,Mazda,CLASSIC (4x4),,SUV,2007,216036,Automatic,All Wheel Drive,Petrol - Premium Unleaded,Grey,TRUE,5,4,0
12888,DRIVE_AWAY,Dealer used,Mitsubishi,LX,,Sedan,2013,75505,Automatic,Front Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,3.5,0
22488,DRIVE_AWAY,Dealer used,Ford,Territory,TX (RWD),SUV,2015,77438,Automatic,Rear Wheel Drive,Diesel,White,TRUE,5,2.5,6
12990,DRIVE_AWAY,Dealer used,Toyota,Other,,Van/Minivan,2002,96225,Automatic,Front Wheel Drive,Petrol - Unleaded,Black,TRUE,5,3,0
4999,DRIVE_AWAY,Dealer used,Mercedes-Benz,A170,CLASSIC,Hatchback,2005,150221,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Red,TRUE,5,3.5,4
5249,DRIVE_AWAY,Dealer used,Mazda,CLASSIC,,Sedan,2005,217839,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,3,0
14999,DRIVE_AWAY,Dealer used,Nissan,ST (4x4),,Ute,2012,191282,Manual,4x4,Diesel,Red,TRUE,3,2.5,0
8999,FIXED,Dealer used,Subaru,X,,SUV,2010,0,Automatic,All Wheel Drive,Petrol - Unleaded,White,TRUE,5,3.5,0
7999,DRIVE_AWAY,Dealer used,Holden,SV6,,Sedan,2011,229461,Automatic,Rear Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,3,0
6990,DRIVE_AWAY,Dealer used,Mercedes-Benz,C200,KOMPRESSOR ELEGANCE,Sedan,2002,183342,Automatic,Rear Wheel Drive,Petrol - Unleaded,Gold,TRUE,4,2.5,4
5750,FIXED,Dealer used,Holden,All Others,,Hatchback,2012,178000,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,4,0
33888,DRIVE_AWAY,Dealer used,Honda,VTi-S (AWD),,SUV,2018,17658,Automatic,All Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,3.5,0
9990,DRIVE_AWAY,Dealer used,Fiat,500,TWIN AIR,Hatchback,2012,57775,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,White,TRUE,5,5,0
7500,FIXED,Dealer used,Mercedes-Benz,Vito,112CDI,Van/Minivan,2002,297928,Automatic,Front Wheel Drive,Diesel,Other,TRUE,4,2,4
19990,DRIVE_AWAY,Dealer used,Toyota,Prius,I-TECH HYBRID,Hatchback,2011,65238,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,White,TRUE,5,5,4
27000,FIXED,Private seller,Hyundai,SR PREMIUM,,Hatchback,2017,22000,Automatic,Front Wheel Drive,Petrol - Unleaded,Black,TRUE,5,3.5,0
4199,DRIVE_AWAY,Dealer used,Toyota,ASCENT,,Sedan,2006,217922,Manual,Front Wheel Drive,Petrol - Unleaded,Other,TRUE,3,1.5,0
24888,DRIVE_AWAY,Dealer used,Honda,Civic,VTi-L,Sedan,2017,9411,Automatic,Front Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,4,4
3990,FIXED,Dealer used,Holden,Barina Spark,CDX,Hatchback,2010,192120,Manual,Front Wheel Drive,Petrol - Unleaded,Green,TRUE,5,5,4
5999,FIXED,Dealer used,Holden,V,,Sedan,2006,270756,Automatic,Rear Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,2.5,0
7300,DRIVE_AWAY,Dealer used,Honda,(4x4) LUXURY,,SUV,2009,201018,Automatic,4x4,Petrol - Unleaded,Silver,TRUE,4,3,0
4990,FIXED,Dealer used,Holden,Cruze,CDX,Sedan,2011,126000,Manual,Front Wheel Drive,Petrol - Unleaded,Black,TRUE,5,3.5,4
6999,DRIVE_AWAY,Dealer used,Nissan,Dualis,ST (4x2),SUV,2011,193807,Manual,Front Wheel Drive,Petrol - Unleaded,Other,TRUE,5,3.5,4
